BJD-2454833.0,raw,ost_decorr,ost_tfa,err
2062.85864914,12.91673,12.91293,12.913244,0.00102
2062.8790814,12.91627,12.9129,12.913017,0.001
2062.89951355,12.91589,12.91249,12.912535,0.001
2062.9199456,12.91579,12.91262,12.912664,0.00102
2062.94037786,12.9149,12.91222,12.912133,0.00099
2062.96081001,12.91319,12.91138,12.912326,0.00093
2062.98124216,12.9136,12.91192,12.912095,0.00096
2063.00167432,12.91378,12.91235,12.912544,0.00096
2063.02210647,12.91327,12.9122,12.912526,0.00093
2063.04253862,12.91288,12.91223,12.912655,0.00092
2063.06297077,12.91344,12.91256,12.912536,0.00094
2063.08340292,12.91386,12.91331,12.913384,0.00095
2063.10383517,12.91384,12.91316,12.91336,0.00093
2063.12426732,12.91263,12.91227,12.912922,0.0009
2063.14469937,12.91228,12.91205,12.913099,0.00091
2063.16513162,12.91272,12.91265,12.913003,0.00094
2063.18556376,12.9122,12.91238,12.912784,0.00093
2063.20599581,12.91207,12.91233,12.912442,0.00092
2063.22642806,12.91119,12.91151,12.912102,0.00092
2063.24686011,12.91121,12.91188,12.912105,0.00093
2063.26729225,12.91122,12.91183,12.911796,0.00092
2063.2877245,12.91088,12.91179,12.912137,0.00088
2063.30815654,12.91085,12.91183,12.911748,0.00089
2063.32858869,12.91124,12.91222,12.911823,0.00089
2063.34902093,12.9116,12.91257,12.912218,0.00089
2063.36945298,12.91181,12.91274,12.91212,0.00089
2063.38988512,12.91232,12.91321,12.91277,0.00087
2063.41031737,12.9122,12.91307,12.913173,0.00079
2063.43074941,12.91236,12.91319,12.913359,0.00078
2063.45118155,12.91258,12.91341,12.913367,0.0008
2063.47161379,12.91224,12.91304,12.913033,0.00078
2063.49204593,12.91256,12.91336,12.913253,0.00079
2063.51247808,12.91216,12.91293,12.913091,0.00076
2063.53291022,12.91218,12.91296,12.912798,0.00078
2063.55334236,12.91221,12.91298,12.913055,0.00075
2063.5737745,12.91203,12.91276,12.913298,0.00071
2063.59420664,12.91178,12.91256,12.91299,0.00067
2063.61463877,12.91234,12.91313,12.913237,0.00067
2063.63507101,12.91276,12.91357,12.913694,0.00066
2063.65550305,12.91847,12.91276,12.913761,0.00102
2063.67593519,12.91847,12.9114,12.912144,0.0013
2063.69636743,12.91912,12.91236,12.91324,0.00117
2063.71679946,12.92005,12.91337,12.913117,0.00115
2063.7372316,12.92034,12.91419,12.913873,0.00117
2063.75766383,12.92025,12.91447,12.914354,0.00116
2063.77809587,12.9209,12.91449,12.9133,0.00115
2063.79852801,12.92115,12.91486,12.913391,0.0012
2063.81896024,12.91931,12.91291,12.912743,0.00113
2063.83939227,12.91846,12.91177,12.912409,0.00109
2063.85982441,12.9194,12.91306,12.912804,0.00112
2063.88025664,12.91827,12.91177,12.912053,0.00109
2063.90068867,12.91879,12.91264,12.912174,0.00112
2063.92112091,12.91723,12.91062,12.912058,0.00117
2063.94155304,12.91823,12.91302,12.913163,0.00107
2063.96198507,12.91875,12.91368,12.912972,0.00108
2063.9824173,12.91828,12.91352,12.913305,0.00109
2064.00284943,12.91709,12.9131,12.913011,0.00102
2064.02328146,12.91678,12.91319,12.913019,0.00103
2064.04371369,12.91589,12.91267,12.912703,0.00101
2064.06414582,12.91549,12.91268,12.912477,0.00102
2064.08457785,12.91429,12.91212,12.911879,0.00098
2064.10501008,12.91363,12.9121,12.911981,0.00096
2064.12544221,12.91365,12.91244,12.912272,0.00098
2064.55451679,12.91224,12.91348,12.913481,0.00091
2064.57494901,12.9116,12.91293,12.913057,0.00091
2064.59538113,12.91253,12.91387,12.913271,0.00089
2064.61581315,12.91158,12.91288,12.912822,0.00086
2064.63624536,12.91138,12.91267,12.912567,0.00085
2064.65667748,12.91153,12.91282,12.91225,0.00085
2064.73840584,12.91148,12.91275,12.911942,0.00078
2064.75883806,12.91169,12.91298,12.911795,0.00082
2064.77927007,12.91136,12.91266,12.911697,0.00078
2064.79970229,12.91018,12.91143,12.911606,0.00069
2064.8201344,12.91083,12.91212,12.911873,0.00075
2064.84056651,12.91115,12.91244,12.912053,0.00073
2064.86099863,12.91153,12.91283,12.91219,0.00073
2064.88143074,12.91572,12.91071,12.911155,0.00096
2064.90186285,12.91719,12.91211,12.911839,0.00106
2064.92229496,12.91707,12.9123,12.912005,0.00108
